ds,y
02/15/2023 01:30,0.5305939605
02/15/2023 01:40,0.5347291673
02/15/2023 01:50,0.5347291673
02/15/2023 02:00,0.5348912491
02/15/2023 02:10,0.5359678464
02/15/2023 02:20,0.5366362068
02/15/2023 02:30,0.5413714211
02/15/2023 02:40,0.5402063108
02/15/2023 02:50,0.5410875521
02/15/2023 03:00,0.5431325079
02/15/2023 03:10,0.5387010787
02/15/2023 03:20,0.5392594269
02/15/2023 03:30,0.5409442149
02/15/2023 03:40,0.5409452283
02/15/2023 03:50,0.5412720816
02/15/2023 04:00,0.5406507283
02/15/2023 04:10,0.5399749858
02/15/2023 04:20,0.5386800809
02/15/2023 04:30,0.5314168562
02/15/2023 04:40,0.5264497159
02/15/2023 04:50,0.5235528396
02/15/2023 05:00,0.5231227392
02/15/2023 05:10,0.5265407299
02/15/2023 05:20,0.5252522971
02/15/2023 05:30,0.5255880080
02/15/2023 05:40,0.5320991609
02/15/2023 05:50,0.5320991609
02/15/2023 06:00,0.5326697815
02/15/2023 06:10,0.5325112468
02/15/2023 06:20,0.5391650842
02/15/2023 06:30,0.5391650842
02/15/2023 06:40,0.5406811290
02/15/2023 06:50,0.5386478146
02/15/2023 07:00,0.5390143716
02/15/2023 07:10,0.5395135022
02/15/2023 07:20,0.5405951794
02/15/2023 07:30,0.5402788776
02/15/2023 07:40,0.5399769884
02/15/2023 07:50,0.5398362563
02/15/2023 08:00,0.5405628258
02/15/2023 08:10,0.5395890167
02/15/2023 08:20,0.5374579285
02/15/2023 08:30,0.5375886688
02/15/2023 08:40,0.5349839399
02/15/2023 08:50,0.5349839399
02/15/2023 09:00,0.5318441814
02/15/2023 09:10,0.5331924612
02/15/2023 09:20,0.5341552634
02/15/2023 09:30,0.5356468194
02/15/2023 09:40,0.5321358215
02/15/2023 09:50,0.5343408619
02/15/2023 10:00,0.5336932721
02/15/2023 10:10,0.5346742652
02/15/2023 10:20,0.5341084950
